com.samsung.shealth.tipdata,6320001,3
tip_type,tip_title,tip_summary,tip_new,tip_url,tip_country_code,tip_id,update_time,create_time,goal_id,tip_language_code,time_offset,deviceuuid,pkg_name,datauuid
,운동계획 세우기,"운동은 만성 질환의 위험을 줄이고 균형능력과 협응력 향상 시킬 수 있고, 체중 조절에 도움을 주며, 심지어 수면 습관과 자기 존중감을 향상시킬 수 있습니다.",0,GENERAL,kr,5519,2015-04-23 17:22:15.728,2015-04-17 08:07:58.456,1,ko,UTC+0900,uVwC9SChYX,com.sec.android.app.shealth,332cdb86-3d3f-4f57-bef7-99ea419f58f2,
,행복한 삶을 위한 기본조건,현대 사회에서의 건강은 단지 신체적으로 이상이 없는 상태가 아닌 행복한 삶을 위한 기본조건으로 여겨지고 있다.,0,GENERAL,kr,5700,2015-04-25 18:04:33.363,2015-04-23 17:22:15.319,1,ko,UTC+0900,uVwC9SChYX,com.sec.android.app.shealth,7d770bb7-784c-4dc3-8e66-52f9a9adcc42,
,,"You averaged 188 active minutes per day last week. Saturday was your most active day, with 295 minutes of activity.",0,,,insight_activity_week_report_1429369200000,2015-04-25 18:04:33.396,2015-04-23 17:22:15.603,1,,UTC+0900,uVwC9SChYX,com.sec.android.app.shealth,733d2ef0-db4d-4aa5-ba30-923b8de6fde2,
,,"You averaged 151 active minutes per day last month. Your highest number of active minutes per day last month was 295 minutes, while your lowest was 25 minutes. You achieved your goals on 11 days last month.",0,,,insight_activity_month_report_1430406000000,2015-05-04 08:34:55.194,2015-05-02 12:30:06.461,1,,UTC+0900,uVwC9SChYX,com.sec.android.app.shealth,08d89657-2f46-4a24-838e-7e1ddf1cf852,
,중도 포기 없이 헬스장 다니려면?,"운동을 하려고 헬스클럽에 등록했는데, 처음 며칠이 지나니 당최 발길이 향하지를 않습니다. 이런 경험 많으시죠?",0,GENERAL,kr,5986,2015-05-21 17:06:09.527,2015-05-09 17:44:41.305,1,ko,UTC+0900,uVwC9SChYX,com.sec.android.app.shealth,150c5c7b-a1d6-4cc9-8335-a57a79c7273d,
,하루에 얼마나 걸어야 하나?,흔히 건강 증진을 위한 신체 활동으로 만보 걷기를 추천합니다. 한국 걷기 과학학회라는 곳에서 우리 나라 사람들이 1일 걷는 걸음수가 어느 정도인지를 측정했었습니다.,0,WELCOME,kr,5957,2015-04-23 17:22:15.470,2015-04-17 08:07:58.369,1,ko,UTC+0900,uVwC9SChYX,com.sec.android.app.shealth,648c005a-94c5-4ee4-b3bf-df17a006a1c7,
,달리기 시 관절의 부담과 부상,"많은 사람들이 평소에 즐기는 달리기 운동은 많은 장점을 가지고 있습니다. 그러나 걷기에 비하면 근골격계에 많은 부담을 주는 운동이기도 합니다. 달리기에 의한 손상은 스포츠손상 중 가장 일반적인 것 중 하나로, 과사용에 의한 손상으로 볼 수 있습니다.",0,GENERAL,kr,5532,2015-05-21 17:06:09.562,2015-05-16 06:31:29.924,1,ko,UTC+0900,uVwC9SChYX,com.sec.android.app.shealth,fb5aac25-2b9a-4635-afad-849c1c37988f,
,,"You averaged 95 active minutes per day last week. That's 10 minutes less per day than the week before. Sunday was your most active day, with 145 minutes of activity.",0,,,insight_activity_week_report_1431788400000,2015-06-21 11:19:52.009,2015-05-21 17:06:09.742,1,,UTC+0900,uVwC9SChYX,com.sec.android.app.shealth,6daf37a0-c4fb-4e2f-bda7-7ac079ba6337,
,,"You averaged 96 active minutes per day last month. Your highest number of active minutes per day last month was 188 minutes, while your lowest was 33 minutes. You achieved your goals on 25 days last month.",0,,,insight_activity_month_report_1433084400000,2015-07-27 13:41:08.463,2015-06-21 11:19:52.154,1,,UTC+0900,uVwC9SChYX,com.sec.android.app.shealth,4e6559cc-231a-4676-95c5-034c17003c39,
,당신의 뱃살이 빠지지 않는 이유 4가지,‘뱃살’을 찌우는 습관부터 경계할 필요가 있다. 이에 의식하지 못했던 ‘뱃살’을 찌우는 습관에는 어떤 것들이 있는지 소개한다.,0,GENERAL,kr,6223,2015-07-27 13:41:08.429,2015-06-21 11:19:51.628,1,ko,UTC+0900,uVwC9SChYX,com.sec.android.app.shealth,bec84014-58b5-47e8-8599-b724d571362b,
,여름철 운동,"일년 중 낮의 길이가 가장 길어지고 밤의 길이가 짧아 지는 시기이며, 사계절 중 가장 더운 날씨와 습도가 특징입니다. 높은 온도와 습도로 인한 체온상승이...",0,GENERAL,kr,5712,2015-06-21 11:19:52.027,2015-06-07 13:36:12.936,1,ko,UTC+0900,uVwC9SChYX,com.sec.android.app.shealth,581fbe05-6af0-4d1b-a1c5-c6680b0f331a,
,비만의 원인과 유형,"비만을 일으키는 원인에는 유전적인 요인을 비롯하여 사회, 심리적 요인 등 여러 가지가 있다. 또한 비만은 지방세포가 증식하는 경우와 지방세포의 크기가 변화하는 경우의 두가지 유형으로 분류된다.",0,GENERAL,kr,5726,2015-06-21 11:19:51.973,2015-05-21 17:06:09.353,1,ko,UTC+0900,uVwC9SChYX,com.sec.android.app.shealth,18df7359-ee35-446e-a0f7-992baa0d8ad4,
,운동 시 수분섭취 방법,"운동하기 30-1시간 전에 300cc(종이컵 2잔)정도 마시고, 운동 중에 한번에 많은 양을 섭취하지 말고, 15-20분마다 150-200cc정도씩 물을 규칙적으로 마시는 것이 좋습니다.",0,GENERAL,kr,5721,2015-05-06 15:24:41.659,2015-05-04 08:34:54.974,1,ko,UTC+0900,uVwC9SChYX,com.sec.android.app.shealth,7b0c7ddf-b943-41bf-a337-927a67683274,
